Datetime,Voltage,Pressure,Solar Radiation,Air Temperature,Relative Humidity,Wind Speed,Gust Speed,Wind Direction,Rain
7/3/23 12:15,-0.00023,745.95,965.6,14.834,34.829,0.33,1.67,268.1,0
7/3/23 12:30,-0.00023,745.95,975.6,15.199,29.943,0.33,1.34,23.9,0
7/3/23 12:45,-0.00023,746.05,975.6,14.941,32.279,0.33,1.67,210.6,0
7/3/23 13:00,-0.00023,746.35,974.4,14.083,34.257,0.67,2.34,230.2,0
7/3/23 13:15,-0.00023,746.15,973.1,14.727,33.552,1,3.01,220.4,0
7/3/23 13:30,-0.00023,746.25,965.6,13.569,34.971,1,3.67,198,0
7/3/23 13:45,-0.00023,746.15,958.1,14.512,33.358,0.67,2.34,0,0
7/3/23 14:00,-0.00023,746.35,941.9,12.818,38.016,2,3.67,299,0
7/3/23 14:15,-0.00023,746.75,925.6,14.362,35.296,2.34,4.34,266.7,0
7/3/23 14:30,-0.00023,746.45,904.4,13.29,39.106,3.34,6.35,256.9,0
7/3/23 14:45,-0.00023,746.55,885.6,13.74,38.82,3.01,5.68,251.3,0
7/3/23 15:00,-0.00023,746.65,858.1,14.083,38.042,3.67,6.35,254.1,0
7/3/23 15:15,-0.00023,746.85,830.6,12.26,44.501,2.34,4.34,314.5,0
7/3/23 15:30,-0.00023,746.85,803.1,14.362,38.57,2,4.34,268.1,0
7/3/23 15:45,-0.00023,746.95,775.6,12.325,45.19,1.34,6.01,308.9,0
7/3/23 16:00,-0.00023,746.95,740.6,12.196,45.652,2.67,5.34,320.1,0
7/3/23 16:15,-0.00023,746.85,710.6,13.483,43.001,2,5.68,292,0
7/3/23 16:30,-0.00023,746.85,673.1,13.547,42.011,1.67,5.68,313.1,0
7/3/23 16:45,-0.00023,746.85,638.1,12.411,45.272,2.34,5.01,322.9,0
7/3/23 17:00,-0.00023,746.95,595.6,12.668,41.083,1.67,6.68,324.3,0
7/3/23 17:15,-0.00023,746.85,553.1,13.933,41.677,1,4.01,306.1,0
7/3/23 17:30,-0.00023,746.95,510.6,12.046,46.682,1.34,5.01,304.7,0
7/3/23 17:45,-0.00023,746.95,470.6,11.917,47.263,2.67,5.68,324.3,0
7/3/23 18:00,-0.00023,746.85,424.4,13.783,35.821,1,2.67,15.4,0
7/3/23 18:15,-0.00023,746.75,381.9,13.419,35.587,0.67,4.01,53.3,0
7/3/23 18:30,-0.00023,746.85,334.4,11.831,40.047,1,3.67,150.2,0
7/3/23 18:45,-0.00023,746.85,291.9,11.939,39.49,1,4.68,293.4,0
7/3/23 19:00,-0.00023,746.95,24.4,11.145,41.408,0.67,3.34,317.3,0
7/3/23 19:15,-0.00023,746.95,23.1,11.038,39.696,2.34,6.01,49.1,0
7/3/23 19:30,-0.00023,746.95,21.9,10.845,40.972,1.67,5.01,63.2,0
7/3/23 19:45,-0.00023,746.95,19.4,10.716,40.52,2.67,5.01,63.2,0
7/3/23 20:00,-0.00023,747.05,16.9,10.33,40.772,2.34,6.01,68.8,0
