,name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees
52,James C. Haggerty North Kern Golf Course,17412 Quality Rd,Bakersfield,CA,93308,"60,000 (estimated)",Public,1950,$14.75
53,Kern River Golf Course,Lake Ming Dr,Bakersfield,CA,93386,"72,000 (estimated)",Public,1953,$14.75
54,Links at River Lakes Ranch,5201 Riverlakes Dr,Bakersfield,CA,93312,N/A,Public,1999,$44.00
55,Pepper Tree Golf Course,1119 Watts Dr,Bakersfield,CA,93307,"52,000 (estimated)",Public,1952,$25.00
56,Rio Bravo Country Club,15200 Casa Club Dr,Bakersfield,CA,93306,"42,000 (estimated)",Private,1979,$50.00
57,Seven Oaks Country Club,2000 Grand Lakes Ave,Bakersfield,CA,93311,"40,000 (estimated)",Private,1991,$60.00
58,Stockdale Country Club,7001 Stockdale Hwy,Bakersfield,CA,93309,"40,000 (estimated)",Private,1925,$60.00
59,Sundale Country Club,6218 Sundale Ave,Bakersfield,CA,93309,"50,000 (estimated)",Semi-Private,1962,$30.00
60,Sun Lakes Country Club,850 S Country Club Dr,Banning,CA,92220,"67,000 (estimated)",Semi-Private,1987,$50.00
61,Sun Lakes Country Club Executive Course,545 Twin Hills,Banning,CA,92220,N/A,Semi-Private,1996,$16.00
62,Barstow Country Club,2781 Country Club Dr,Barstow,CA,92311,N/A,Public,1974,$20.00
63,Tees & Trees Golf Course,Nebo Marine Base,Barstow,CA,92311,N/A,Military,1956,$13.00
64,RECCE Point Golf Course,17350 Warren Shingle Blvd,Beale Afb,CA,95903,"30,000 (estimated)",Military,1958,$20.00
65,Champions Course at PGA of Southern California at Oak Valley,36211 Champions Dr,Beaumont,CA,92223,N/A,Public,2000,$75.00
66,Legends Course at PGA of Southern California at Oak Valley,36211 Champions Dr,Beaumont,CA,92223,N/A,Public,2000,$75.00
67,Oak Valley Golf Club,1888 Golf Club Dr,Beaumont,CA,92223,"40,000 (estimated)",Public,1990,$75.00
68,Ford Park Golf Course,8000 Park Ln,Bell Gardens,CA,90201,"47,000 (estimated)",Public,1975,$4.00
69,Tilden Park Golf Course,Grizzley Peak & Shasta Rd,Berkeley,CA,94708,"88,000 (estimated)",Public,1937,$55.00
70,First Nine Second Nine Course at Bermuda Dunes Country Club,42360 Adams St,Bermuda Dunes,CA,92201,"50,000 (estimated)",Private,1960,$80.00
71,Second Nine Third Nine Course at Bermuda Dunes Country Club,42360 Adams St,Bermuda Dunes,CA,92201,"50,000 (estimated)",Private,1986,$80.00
72,Third Nine First Nine Course at Bermuda Dunes Country Club,42360 Adams St,Bermuda Dunes,CA,92201,"50,000 (estimated)",Private,1960,$80.00
73,Bethel Island Club,3303 Gateway Rd,Bethel Island,CA,94511,"80,000 (estimated)",Public,1966,$22.00
74,Big Bear Mountain Golf Course,43100 Goldmine Dr,Big Bear Lake,CA,92315,N/A,Resort,1921,$32.00
75,Bishop Country Club,200 S Hwy 395,Bishop,CA,93514,"55,000 (estimated)",Semi-Private,1963,$32.00
76,Feather River Inn Golf Club & Resort,Hwy 70 At Feather River Inn Rd,Blairsden,CA,96103,"17,000 (estimated)",Resort,1919,$18.00
77,Feather River Park Resort,8339 Hwy 89,Blairsden,CA,96103,N/A,Resort,1923,$18.00
78,Blythe Golf Course,4708 Wells Rd,Blythe,CA,92225,"40,000 (estimated)",Public,1969,$20.00
79,Bodega Harbour Golf Links,21301 Heron Dr,Bodega Bay,CA,94923,"33,000 (estimated)",Semi-Private,1977,$90.00
80,Bonita Golf Club,5540 Sweetwater Rd,Bonita,CA,91902,N/A,Public,1980,$28.00
