date,time,air_temp
20220610,2140,19.2
20220610,2145,19.2
20220610,2150,19.1
20220610,2155,19.3
20220610,2200,19.4
20220610,2205,19.2
20220610,2210,19.1
20220610,2215,19.1
20220610,2220,18.9
20220610,2225,18.9
20220610,2230,19
20220610,2235,19.4
20220610,2240,19.2
20220610,2245,19.6
20220610,2250,19.7
20220610,2255,19.4
20220610,2300,19.4
20220610,2305,19.4
20220610,2310,19.3
20220610,2315,19.3
20220610,2320,19.1
20220610,2325,18.7
20220610,2330,18.7
20220610,2335,18.6
20220610,2340,18.5
20220610,2345,18.6
20220610,2350,18.7
20220610,2355,18.7
20220611,0000,18.7
20220611,0005,18.5
20220611,0010,18.3
20220611,0015,18.3
20220611,0020,18.3
20220611,0025,18.1
20220611,0030,18.2
20220611,0035,18.3
20220611,0040,18.1
20220611,0045,18.1
20220611,0050,18.2
20220611,0055,18.4
20220611,0100,18.5
20220611,0105,18.4
20220611,0110,18.3
20220611,0115,18.2
20220611,0120,18
20220611,0125,18.1
20220611,0130,18.1
20220611,0135,18
20220611,0140,17.9
20220611,0145,17.8
20220611,0150,17.7
20220611,0155,17.7
20220611,0200,17.7
20220611,0205,17.6
20220611,0210,17.6
20220611,0215,17.5
20220611,0220,17.5
20220611,0225,17.5
20220611,0230,17.5
20220611,0235,17.4
20220611,0240,17.2
20220611,0245,17.1
20220611,0250,17.1
20220611,0255,17.1
20220611,0300,17.1
20220611,0305,17
20220611,0310,16.8
20220611,0315,16.6
20220611,0320,16.4
20220611,0325,16.3
20220611,0330,16.1
20220611,0335,16
20220611,0340,15.8
20220611,0345,15.8
20220611,0350,15.8
20220611,0355,15.8
20220611,0400,15.7
20220611,0405,15.6
20220611,0410,15.6
20220611,0415,15.6
20220611,0420,15.6
20220611,0425,15.6
20220611,0430,15.5
20220611,0435,15.5
20220611,0440,15.5
20220611,0445,15.5
20220611,0450,15.5
20220611,0455,15.5
20220611,0500,15.5
20220611,0505,15.4
20220611,0510,15.4
20220611,0515,15.4
20220611,0520,15.4
20220611,0525,15.4
20220611,0530,15.4
20220611,0535,15.4
20220611,0540,15.4
20220611,0545,15.4
20220611,0550,15.4
20220611,0555,15.3
20220611,0600,15.2
20220611,0605,15.2
20220611,0610,15.1
20220611,0615,15
20220611,0620,15
20220611,0625,14.9
20220611,0630,14.9
20220611,0635,14.8
20220611,0640,14.8
20220611,0645,14.7
20220611,0650,14.7
20220611,0655,14.6
20220611,0700,14.6
20220611,0705,14.6
20220611,0710,14.5
20220611,0715,14.5
20220611,0720,14.5
20220611,0725,14.5
20220611,0730,14.4
20220611,0735,14.4
20220611,0740,14.4
20220611,0745,14.4
20220611,0750,14.4
20220611,0755,14.3
20220611,0800,14.2
20220611,0805,14.2
20220611,0810,14.2
20220611,0815,14.2
20220611,0820,14.2
20220611,0825,14.2
20220611,0830,14.2
20220611,0835,14.2
20220611,0840,14.2
20220611,0845,14.2
20220611,0850,14.2
20220611,0855,14.2
20220611,0900,14.2
20220611,0905,14.2
20220611,0910,14.2
20220611,0915,14.2
20220611,0920,14.3
20220611,0925,14.3
20220611,0930,14.3
20220611,0935,14.3
20220611,0940,14.3
20220611,0945,14.3
20220611,0950,14.3
20220611,0955,14.3
20220611,1000,14.3
20220611,1005,14.3
20220611,1010,14.3
20220611,1015,14.3
20220611,1020,14.3
20220611,1025,14.2
20220611,1030,14.3
20220611,1035,14.3
20220611,1040,14.3
20220611,1045,14.3
20220611,1050,14.2
20220611,1055,14.2
20220611,1100,14.1
20220611,1105,14.1
20220611,1110,14.1
20220611,1115,14.1
20220611,1120,14.1
20220611,1125,14.1
20220611,1130,14.1
20220611,1135,14.1
20220611,1140,14.1
20220611,1145,14.2
20220611,1150,14.2
20220611,1155,14.2
20220611,1200,14.2
20220611,1205,14.2
20220611,1210,14.2
20220611,1215,14.2
20220611,1220,14.2
20220611,1225,14.2
20220611,1230,14.2
20220611,1235,14.1
20220611,1240,14.2
20220611,1245,14.2
20220611,1250,14.1
20220611,1255,14.2
20220611,1300,14.2
20220611,1305,14.2
20220611,1310,14.2
20220611,1315,14.2
20220611,1320,14.2
20220611,1325,14.2
20220611,1330,14.2
20220611,1335,14.3
20220611,1340,14.3
20220611,1345,14.3
20220611,1350,14.3
20220611,1355,14.3
20220611,1400,14.3
20220611,1405,14.4
20220611,1410,14.3
20220611,1415,14.4
20220611,1420,14.4
20220611,1425,14.5
20220611,1430,14.5
20220611,1435,14.5
20220611,1440,14.7
20220611,1445,14.7
20220611,1450,14.8
20220611,1455,14.7
20220611,1500,14.7
20220611,1505,14.9
20220611,1510,15
20220611,1515,15
20220611,1520,15.2
20220611,1525,15.4
20220611,1530,15.5
20220611,1535,15.5
20220611,1540,15.6
20220611,1545,15.4
20220611,1550,15.7
20220611,1555,15.5
20220611,1600,15.5
20220611,1605,15.6
20220611,1610,15.7
20220611,1615,15.8
20220611,1620,15.9
20220611,1625,15.8
20220611,1630,15.8
20220611,1635,15.8
20220611,1640,15.8
20220611,1645,15.8
20220611,1650,15.8
20220611,1655,15.8
