Region Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NW,5/19/2022 1 a.m. PDT,12112,-1,15383,778,57,5155,7253,1157
NW,5/19/2022 2 a.m. PDT,12078,-2,14837,846,57,4981,6938,1158
NW,5/19/2022 3 a.m. PDT,12242,-4,14709,815,57,4812,6750,1159
NW,5/19/2022 4 a.m. PDT,12409,-4,14971,818,58,4885,6572,1159
NW,5/19/2022 5 a.m. PDT,12677,3,15508,834,59,4610,6755,1159
NW,5/19/2022 6 a.m. PDT,12260,223,16789,840,58,4745,7210,1162
NW,5/19/2022 7 a.m. PDT,11729,1823,18397,832,59,4463,7620,1161
NW,5/19/2022 8 a.m. PDT,11405,3508,19324,826,58,3684,7346,1161
NW,5/19/2022 9 a.m. PDT,11133,4137,19538,814,59,3604,6947,1160
NW,5/19/2022 10 a.m. PDT,11038,4495,19398,837,60,3199,7476,1155
NW,5/19/2022 11 a.m. PDT,11216,4463,19021,831,59,3045,7617,1151
NW,5/19/2022 12 p.m. PDT,11316,4338,18812,816,58,3303,7634,1151
NW,5/19/2022 1 p.m. PDT,11127,4460,18262,812,56,3545,7887,1151
NW,5/19/2022 2 p.m. PDT,11327,4446,17956,807,57,3863,8358,1150
NW,5/19/2022 3 p.m. PDT,11527,4273,17354,809,57,4237,8515,1151
NW,5/19/2022 4 p.m. PDT,11646,3932,17220,809,56,5114,8590,1152
NW,5/19/2022 5 p.m. PDT,12103,3534,17799,799,56,5725,8260,1153
NW,5/19/2022 6 p.m. PDT,12030,2764,18167,802,55,5888,8081,1151
NW,5/19/2022 7 p.m. PDT,11524,1277,18157,849,56,6499,8293,1151
NW,5/19/2022 8 p.m. PDT,11653,237,18506,866,54,6275,8420,1148
NW,5/19/2022 9 p.m. PDT,11174,24,18593,877,55,6190,8475,1148
NW,5/19/2022 10 p.m. PDT,10369,17,18797,891,57,6240,8215,1150
NW,5/19/2022 11 p.m. PDT,8805,-1,17525,858,58,5657,8007,1152
NW,5/20/2022 12 a.m. PDT,8393,-2,16842,884,57,5278,7897,1154
NW,5/20/2022 1 a.m. PDT,9511,-1,16262,874,55,4920,7635,1155
NW,5/20/2022 2 a.m. PDT,9431,-2,16030,879,56,4694,7340,1157
NW,5/20/2022 3 a.m. PDT,9269,-2,15990,894,55,4513,7497,1157
NW,5/20/2022 4 a.m. PDT,9243,-1,16581,904,56,4391,7501,1160
NW,5/20/2022 5 a.m. PDT,9156,-3,16997,935,57,4327,7816,1160
NW,5/20/2022 6 a.m. PDT,9018,96,19061,929,58,4318,7859,1160
NW,5/20/2022 7 a.m. PDT,8427,1316,20550,939,58,4029,8203,1159
NW,5/20/2022 8 a.m. PDT,7612,3241,20852,975,60,3560,8180,1158
NW,5/20/2022 9 a.m. PDT,7500,4148,20107,990,59,3304,7646,1157
NW,5/20/2022 10 a.m. PDT,7339,4272,19737,1005,60,2905,7280,1156
NW,5/20/2022 11 a.m. PDT,7162,4335,19304,1002,60,2751,6944,1154
NW,5/20/2022 12 p.m. PDT,6863,4382,19094,994,61,2694,6451,1153
NW,5/20/2022 1 p.m. PDT,6823,4418,18373,986,61,2782,6810,1152
NW,5/20/2022 2 p.m. PDT,6637,4421,17993,977,60,2844,7177,1151
NW,5/20/2022 3 p.m. PDT,6574,4322,17858,961,62,2845,7379,1152
NW,5/20/2022 4 p.m. PDT,7167,4245,17866,953,61,3125,6912,1152
NW,5/20/2022 5 p.m. PDT,6937,4053,18651,928,61,3643,7043,1152
NW,5/20/2022 6 p.m. PDT,6950,3630,19828,918,62,3986,7411,1148
NW,5/20/2022 7 p.m. PDT,6803,1880,20170,938,61,4912,8219,1149
NW,5/20/2022 8 p.m. PDT,6065,293,20409,960,62,5567,8844,1151
NW,5/20/2022 9 p.m. PDT,5903,2,20103,910,60,5772,9102,1149
NW,5/20/2022 10 p.m. PDT,5225,2,20366,890,60,5605,9152,1150
NW,5/20/2022 11 p.m. PDT,3934,2,20015,955,62,5382,9339,1153
NW,5/21/2022 12 a.m. PDT,2660,0,18878,964,62,5527,9410,1154
NW,5/21/2022 1 a.m. PDT,2548,2,18429,987,62,5532,9591,1155
NW,5/21/2022 2 a.m. PDT,3237,1,17398,986,61,5293,8977,1155
NW,5/21/2022 3 a.m. PDT,3153,2,17365,993,61,5337,8851,1156
NW,5/21/2022 4 a.m. PDT,3022,1,17534,999,59,5420,8844,1157
NW,5/21/2022 5 a.m. PDT,2919,3,18116,981,61,5447,8986,1159
NW,5/21/2022 6 a.m. PDT,2481,145,18569,1014,60,5329,9121,1157
NW,5/21/2022 7 a.m. PDT,2086,1779,18763,1023,60,4967,9335,1159
NW,5/21/2022 8 a.m. PDT,1922,3879,18265,1029,61,4356,8744,1157
NW,5/21/2022 9 a.m. PDT,1703,4564,18388,1041,60,4072,7592,1156
NW,5/21/2022 10 a.m. PDT,1842,4817,17971,1049,60,3660,7230,1154
NW,5/21/2022 11 a.m. PDT,1847,4882,17734,1047,59,3690,7009,1152
NW,5/21/2022 12 p.m. PDT,1876,4926,17059,1048,61,3822,7110,1152
NW,5/21/2022 1 p.m. PDT,1915,4920,16834,1041,60,3694,6834,1152
NW,5/21/2022 2 p.m. PDT,2237,4827,16526,1044,60,3613,6675,1151
NW,5/21/2022 3 p.m. PDT,2109,4679,16434,972,60,3823,6899,1152
NW,5/21/2022 4 p.m. PDT,2209,4446,16541,968,60,4358,7688,1150
