"zip","population","city","county"
"97362",4107,"Mount Angel","Marion County"
"97463",3957,"Oakridge","Lane County"
"97115",3937,"Dundee","Yamhill County"
"97385",3913,"Sublimity","Marion County"
"97101",3890,"Amity","Yamhill County"
"97231",3835,"Portland","Multnomah County"
"97734",3746,"Culver","Jefferson County"
"97053",3662,"Warren","Columbia County"
"97624",3643,"Chiloquin","Klamath County"
"97844",3633,"Irrigon","Morrow County"
"97017",3563,"Colton","Clackamas County"
"97331",3533,"Corvallis","Benton County"
"97026",3487,"Gervais","Marion County"
"97064",3462,"Vernonia","Columbia County"
"97396",3349,"Willamina","Yamhill County"
"97341",3315,"Depoe Bay","Lincoln County"
"97828",3301,"Enterprise","Wallowa County"
"97443",3253,"Glide","Douglas County"
"97761",3229,"Warm Springs","Wasco County"
"97022",3213,"Eagle Creek","Clackamas County"
"97539",3213,"Shady Cove","Jackson County"
"97456",3190,"Monroe","Benton County"
"97753",3174,"Powell Butte","Crook County"
"97041",3171,"Mount Hood Parkdale","Hood River County"
"97327",3020,"Brownsville","Linn County"
"97368",3012,"Otis","Lincoln County"
"97042",3009,"Mulino","Clackamas County"
"97148",2966,"Yamhill","Yamhill County"
"97019",2864,"Corbett","Multnomah County"
"97469",2788,"Riddle","Douglas County"
"97623",2705,"Bonanza","Klamath County"
"97875",2608,"Stanfield","Umatilla County"
"97827",2599,"Elgin","Union County"
"97435",2594,"Drain","Douglas County"
"97131",2587,"Nehalem","Tillamook County"
"97532",2580,"Merlin","Josephine County"
"97883",2575,"Union","Union County"
"97437",2483,"Elmira","Lane County"
"97431",2446,"Dexter","Lane County"
"97358",2417,"Lyons","Marion County"
"97417",2415,"Canyonville","Douglas County"
"97107",2377,"Bay City","Tillamook County"
"97845",2300,"John Day","Grant County"
"97380",2297,"Siletz","Lincoln County"
"97455",2252,"Pleasant Hill","Lane County"
"97738",2226,"Hines","Harney County"
"97360",2183,"Mill City","Linn County"
"97836",2176,"Heppner","Morrow County"
"97136",2170,"Rockaway Beach","Tillamook County"
"97449",2115,"Lakeside","Coos County"
"97544",2115,"Williams","Josephine County"
"97538",2113,"Selma","Josephine County"
"97112",2110,"Cloverdale","Tillamook County"
"97846",2062,"Joseph","Wallowa County"
"97498",2044,"Yachats","Lane County"
"97348",1986,"Halsey","Linn County"
"97366",1979,"South Beach","Lincoln County"
"97824",1965,"Cove","Union County"
"97049",1956,"Rhododendron","Clackamas County"
"97442",1954,"Glendale","Douglas County"
"97067",1805,"Welches","Clackamas County"
"97465",1804,"Port Orford","Curry County"
"97495",1798,"Winchester","Douglas County"
"97499",1782,"Yoncalla","Douglas County"
"97018",1773,"Columbia City","Columbia County"
"97121",1714,"Hammond","Clatsop County"
"97040",1701,"Mosier","Wasco County"
"97452",1674,"Lowell","Lane County"
"97389",1658,"Tangent","Linn County"
"97632",1608,"Malin","Klamath County"
"97344",1605,"Falls City","Polk County"
"97868",1594,"Pilot Rock","Umatilla County"
"97135",1593,"Pacific City","Tillamook County"
"97541",1593,"Trail","Jackson County"
"97633",1526,"Merrill","Klamath County"
"97014",1491,"Cascade Locks","Hood River County"
"97813",1468,"Athena","Umatilla County"
"97347",1457,"Grand Ronde","Yamhill County"
"97834",1431,"Halfway","Baker County"
"97641",1410,"Christmas Valley","Lake County"
"97021",1386,"Dufur","Wasco County"
"97885",1342,"Wallowa","Wallowa County"
"97375",1336,"Scotts Mills","Marion County"
"97054",1313,"Deer Island","Columbia County"
"97438",1296,"Fall Creek","Lane County"
"97497",1283,"Wolf Creek","Josephine County"
"97324",1273,"Alsea","Benton County"
"97466",1255,"Powers","Coos County"
"97416",1250,"Camas Valley","Douglas County"
"97110",1185,"Cannon Beach","Clatsop County"
"97826",1185,"Echo","Umatilla County"
"97536",1165,"Prospect","Jackson County"
"97137",1152,"Saint Paul","Marion County"
"97020",1151,"Donald","Marion County"
"97820",1137,"Canyon City","Grant County"
"97865",1133,"Mount Vernon","Grant County"
"97310",1099,"Salem","Marion County"
"97376",1097,"Seal Rock","Lincoln County"
"97876",1085,"Summerville","Union County"
"97454",1076,"Marcola","Lane County"
"97823",1060,"Condon","Gilliam County"
"97810",1047,"Adams","Umatilla County"
"97492",1043,"Westfir","Lane County"
"97346",1031,"Gates","Marion County"
"97204",1008,"Portland","Multnomah County"
"97867",1001,"North Powder","Union County"
"97461",981,"Noti","Lane County"
"97489",972,"Walterville","Lane County"
