name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees ($)
La Grande Country Club,10605 S Mcallister Rd,La Grande,OR,97850,"36,000 (estimated)",Private,1928,25
Quail Run Golf Course,16725 N. Ridge Dr,La Pine,OR,97739,"35,000 (estimated)",Semi-Private,1991,32
Lake Oswego Golf Course,17525 Sw Stafford Rd,Lake Oswego,OR,97034,"12,500 (estimated)",Public,1964,20
Oswego Lake Country Club,20 Iron Mountain Blvd,Lake Oswego,OR,97034,N/A,Private,1926,75
Lakeridge Golf Course,Hwy 140,Lakeview,OR,97630,"37,000 (estimated)",Public,,18
Mallard Creek Golf Course,31966 Bellinger Scale Rd,Lebanon,OR,97355,N/A,Semi-Private,2000,35
Pineway Golf Club,30949 Pineway Rd,Lebanon,OR,97355,"21,500 (estimated)",Public,1958,22
Lakeside Golf & Racquet Club,3245 Ne 50th St,Lincoln City,OR,97367,"35,000 (estimated)",Semi-Private,1926,35
Elkhorn Valley Golf Course,32295 N Fork Rd,Lyons,OR,97358,"14,500 (estimated)",Public,1977,38
Nine Peaks Golf Course,1152 Nw Golf Course Dr,Madras,OR,97741,"35,000 (estimated)",Public,1962,22
Manzanita Golf Course,Lakeview Dr,Manzanita,OR,97130,N/A,Public,1987,26
Michelbook Country Club,1301 Michelbook Ln,Mcminnville,OR,97128,"35,000 (estimated)",Private,1964,35
Regulation Nine Course at Bayou Golf Club,9301 Sw Bayou Dr,Mcminnville,OR,97128,"25,000 (estimated)",Public,1964,20
Short Nine Course at Bayou Golf Club,9301 Sw Bayou Dr,Mcminnville,OR,97128,"25,000 (estimated)",Public,1964,10
Bear Creek Golf Course & Range,2355 S Pacific Hwy,Medford,OR,97501,"45,000 (estimated)",Public,1965,13
Cedar Links Golf Club,3155 Cedar Links Dr,Medford,OR,97504,"35,000 (estimated)",Public,1972,25
Quail Point Golf Course,1200 Mira Mar Ave,Medford,OR,97504,"30,000 (estimated)",Semi-Private,1993,22
Stewart Meadows,1301 S Holly St,Medford,OR,97501,"30,000 (estimated)",Public,1994,20
The Oaks Course at Rogue Valley Country Club,2660 Hillcrest Rd,Medford,OR,97504,"65,000 (estimated)",Private,1927,75
The Rogue Course at Rogue Valley Country Club,2660 Hillcrest Rd,Medford,OR,97504,"65,000 (estimated)",Private,1924,75
Milton-Freewater Golf Course,301 Catherine Ave,Milton Freewater,OR,97862,"28,500 (estimated)",Public,1974,14
Arrowhead Golf Club,28301 S Hwy 213,Molalla,OR,97038,"35,000 (estimated)",Private,1961,45
Evergreen Golf Club,11694 W Church Rd Ne,Mount Angel,OR,97362,"20,000 (estimated)",Public,1960,23
Ranch Hills Golf Course,26710 S Ranch Hills Rd,Mulino,OR,97042,N/A,Public,1967,22
Myrtle Creek Golf Course,Fairway Dr,Myrtle Creek,OR,97457,"30,000 (estimated)",Public,1997,29
Hawk Creek Golf Course,48480 Hwy 101 S,Neskowin,OR,97149,"12,500 (estimated)",Public,1969,20
Neskowin Beach Golf Course,48405 Hawk St,Neskowin,OR,97149,"13,500 (estimated)",Public,1932,20.5
Agate Beach Golf Course,4100 N Coast Hwy,Newport,OR,97365,N/A,Public,1931,26
Kentuck Golf & Country Club,675 Golf Course Ln,North Bend,OR,97459,N/A,Public,1965,18
Ghost Creek at Pumpkin Ridge Golf Club,12930 Old Pumpkin Ridge Rd,North Plains,OR,97133,"35,000 (estimated)",Semi-Private,1991,120
Circle Bar Golf Club,48447 W Oak Rd,Oakridge,OR,97463,"25,000 (estimated)",Semi-Private,1952,18
Ontario Golf Course,1345 Golf Course Rd,Ontario,OR,97914,"35,000 (estimated)",Public,1964,15
Oregon City Golf Club,20124 S Beavercreek Rd,Oregon City,OR,97045,"60,000 (estimated)",Public,1922,34
Stone Creek Golf Club,14603 South Stoneridge Dr,Oregon City,OR,97045,N/A,Public,2003,39
Pendleton Country Club,69772 Hwy 395s,Pendleton,OR,97801,"35,000 (estimated)",Private,1957,35
Wildhorse Resort Golf Course,72787 Hwy 331,Pendleton,OR,97801,"32,000 (estimated)",Resort,1997,26
Broadmoor Golf Course,3509 Ne Columbia Blvd,Portland,OR,97211,"16,000 (estimated)",Public,1932,26
Claremont Golf Course,15800 Nw Country Club Dr,Portland,OR,97229,N/A,Public,1989,32
Columbia Edgewater Country Club,2220 Ne Marine Dr,Portland,OR,97211,N/A,Private,1925,100
Colwood National Golf Club,7313 Ne Columbia Blvd,Portland,OR,97218,"50,000 (estimated)",Public,1929,28
East Course at Glendoveer Golf Course,14015 Ne Glisan St,Portland,OR,97230,"48,000 (estimated)",Public,1923,22
Eastmoreland Golf Course,2425 Se Bybee Blvd,Portland,OR,97202,N/A,Public,1921,22
Great Blue Course at Heron Lakes Golf Course,3500 N Victory Blvd,Portland,OR,97217,"54,000 (estimated)",Public,1993,31
Portland Golf Club,5900 Sw Scholls Ferry Rd,Portland,OR,97225,"44,000 (estimated)",Private,1914,150
Portland Meadows Golf Course,901 N Schmeer Rd,Portland,OR,97217,"12,500 (estimated)",Public,1961,14
Riverside Golf & Country Club,8105 Ne 33rd Dr,Portland,OR,97211,"42,000 (estimated)",Private,1926,50
Rock Creek Country Club,5100 Nw Neakahnie Ave,Portland,OR,97229,"25,000 (estimated)",Private,1958,25
Rose City Golf Course,2200 Ne 71st Ave,Portland,OR,97213,"20,000 (estimated)",Public,1923,21
The Greenback Course at Heron Lakes Golf Course,3500 N Victory Blvd,Portland,OR,97217,"54,000 (estimated)",Public,1971,21
Waverley Country Club,1100 Se Waverly Dr,Portland,OR,97222,"25,000 (estimated)",Private,1896,100
West Course at Glendoveer Golf Course,14015 Ne Glisan St,Portland,OR,97230,"48,000 (estimated)",Public,1928,19
Wildwood Golf Course,21881 Nw St Helens Rd,Portland,OR,97231,"26,000 (estimated)",Public,1990,24
Meadow Lakes Golf Course,300 Meadow Lakes Dr,Prineville,OR,97754,"25,000 (estimated)",Public,1993,31
Prineville Golf & Country Club,7120 Ochoco Hwy,Prineville,OR,97754,"17,000 (estimated)",Private,1956,40
Greens at Redmond,2575 Sw Greens Blvd,Redmond,OR,97756,N/A,Public,1995,20
Juniper Golf Club,139 Se Sisters Ave,Redmond,OR,97756,N/A,Semi-Private,1945,32
Mid-Iron Course at Eagle Crest Resort,1522 Cline Falls Rd,Redmond,OR,97756,"50,000 (estimated)",Resort,1999,40
Resort Course at Eagle Crest Resort,1522 Cline Falls Rd,Redmond,OR,97756,"50,000 (estimated)",Resort,1986,55
Ridge Course at Eagle Crest Resort,1522 Cline Falls Rd,Redmond,OR,97756,"50,000 (estimated)",Resort,1992,65
Forest Hills Country Club,1 Country Club Dr,Reedsport,OR,97467,N/A,Semi-Private,1960,20
Roseburg Country Club,5051 Garden Valley Rd,Roseburg,OR,97470,"37,500 (estimated)",Private,1923,30
Roseburg VA Hospital Golf Course,E Stewart Pkwy,Roseburg,OR,97470,N/A,Semi-Private,1934,10
Stewart Park Golf Course,1005 Stewart Pkwy Dr,Roseburg,OR,97470,N/A,Public,1960,16
Auburn Center Golf Club,5220 Center St Ne,Salem,OR,97301,"15,000 (estimated)",Public,,11
Battle Creek Golf Club,6161 Commercial St Se,Salem,OR,97306,"40,000 (estimated)",Public,1960,25
Cottonwood Lakes Golf Course,3225 River Rd S,Salem,OR,97302,"13,500 (estimated)",Public,1991,14
Creekside Golf Course,6250 Club House Dr Se,Salem,OR,97306,"45,000 (estimated)",Private,1993,40
Illahe Hills Country Club,3376 Country Club Rd S,Salem,OR,97302,"35,000 (estimated)",Private,1961,35
Meadowlawn Golf Club,3898 Meadowlawn Loop Se,Salem,OR,97301,"14,500 (estimated)",Public,1968,20
Salem Golf Club,2025 Golf Course Rd S,Salem,OR,97302,N/A,Semi-Private,1928,40
Seaside Golf Club,451 Ave U,Seaside,OR,97138,"30,000 (estimated)",Public,1921,22
Aspen Lakes Golf Course,16900 Aspen Lakes Dr,Sisters,OR,97759,"24,000 (estimated)",Public,1997,55
Springfield Country Club,90333 Sunderman Rd,Springfield,OR,97478,"54,000 (estimated)",Private,1957,30
Santiam Golf Club,8724 Golf Club Rd Se,Stayton,OR,97383,"65,000 (estimated)",Public,1957,27
Crosswater Course at Sunriver Resort,1 Center Dr,Sunriver,OR,97707,N/A,Resort,1995,160
Meadows Course at Sunriver Resort,1 Center Dr,Sunriver,OR,97707,N/A,Resort,1969,125
Woodlands Course at Sunriver Resort,1 Center Dr,Sunriver,OR,97707,N/A,Resort,1982,125
Oak Hills Golf Club,1919 Recreation Ln,Sutherlin,OR,97479,"30,000 (estimated)",Public,1971,25
Dalles Country Club,4550 Hwy 30 W,The Dalles,OR,97058,"46,000 (estimated)",Private,N/A,25
Summerfield Golf & Country Club,10650 Sw Summerfield Dr,Tigard,OR,97224,N/A,Semi-Private,1973,24
Alderbrook Golf Course,7300 Alderbrook Rd,Tillamook,OR,97141,"60,000 (estimated)",Public,1925,24
Bay Breeze Golf Course & Driving Range,2325 Latimer Rd N,Tillamook,OR,97141,N/A,Public,1994,10
Olalla Valley Golf Course,1022 Olalla Rd,Toledo,OR,97391,"23,000 (estimated)",Public,1956,22
Pub Course at McMenamins Edgefield,2126 Sw Halsey St,Troutdale,OR,97060,N/A,Resort,1998,14
Tualatin Country Club,9145 Sw Tualatin Rd,Tualatin,OR,97062,"50,000 (estimated)",Private,1912,95
Umatilla Golf Course,705 Williamette Ave,Umatilla,OR,97882,"30,000 (estimated)",Public,1968,20
Vernonia Golf Club,15961 Timber Rd E,Vernonia,OR,97064,N/A,Public,1926,22
Crestview Hills Golf,1680 S Crestline Dr,Waldport,OR,97394,"17,000 (estimated)",Public,1969,20
McKenzie River Golf Course,41723 Madrone,Walterville,OR,97489,"23,000 (estimated)",Public,1963,23
Kah-Nee-Ta Resort,100 Main St,Warm Springs,OR,97761,N/A,Resort,1972,42
St. Helens Golf Course,57246 Hazen Rd,Warren,OR,97053,"34,500 (estimated)",Public,1964,22
Astoria Golf & Country Club,33445 Sunset Beach Ln,Warrenton,OR,97146,"50,000 (estimated)",Private,1924,40
Foxglove Pinecone Course at Resort at the Mountain,68010 E Fairway Ave,Welches,OR,97067,N/A,Resort,1928,48
Pinecone Thistle Course at Resort at the Mountain,68010 E Fairway Ave,Welches,OR,97067,N/A,Resort,1928,48
Thistle Foxglove Course at Resort at the Mountain,68010 E Fairway Ave,Welches,OR,97067,N/A,Resort,1928,48
Oregon Golf Club,25700 Sw Petes Mountain Rd,West Linn,OR,97068,"33,000 (estimated)",Private,1992,65
Sandelie Golf,28333 Sw Mountain Rd,West Linn,OR,97068,N/A,Public,1970,24
Veterans Administration Domiciliary Golf Course,Domiciliary,White City,OR,97503,N/A,Private,,8
Green Red Course at Charbonneau Golf Club,32020 Sw Charbonneau Dr,Wilsonville,OR,97070,"57,000 (estimated)",Semi-Private,1978,30
Red Yellow Course at Charbonneau Golf Club,32020 Sw Charbonneau Dr,Wilsonville,OR,97070,"57,000 (estimated)",Semi-Private,1978,22
Yellow Green Course at Charbonneau Golf Club,32020 Sw Charbonneau Dr,Wilsonville,OR,97070,"57,000 (estimated)",Semi-Private,1978,22
Senior Estates Golf & Country Club,1776 Country Club Rd,Woodburn,OR,97071,"60,000 (estimated)",Private,1961,22
The OGA Golf Course at Tukwila,2850 Hazelnut Drive,Woodburn,OR,97071,"45,000 (estimated)",Public,1994,45
